자치구기준일,중구,용산구,동대문구,강북구,은평구,서대문구,마포구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구
2021.12.13.00,3140,4451,7543,5297,7849,4892,6274,4796,8876,7347,9417,6847,10506,11109
2021.12.12.00,3111,4399,7431,5209,7721,4817,6202,4735,8778,7273,9300,6750,10356,10934
2021.12.11.00,3068,4349,7327,5137,7641,4763,6126,4662,8667,7187,9167,6645,10250,10818
2021.12.10.00,3026,4299,7188,5079,7542,4706,6044,4589,8533,7089,9055,6544,10126,10616
2021.12.09.00,2992,4255,7032,5004,7438,4607,5963,4490,8394,6997,8929,6439,9989,10482
2021.12.08.00,2959,4196,6921,4958,7274,4573,5882,4402,8276,6892,8793,6337,9840,10347
2021.12.07.00,2900,4142,6768,4872,7156,4502,5789,4309,8142,6779,8636,6229,9706,10166
2021.12.06.00,2868,4092,6660,4749,7037,4414,5725,4276,8064,6707,8557,6168,9607,10029
2021.12.05.00,2841,4067,6626,4739,7000,4375,5659,4239,7991,6644,8473,6121,9549,9947
2021.12.04.00,2808,4019,6525,4667,6946,4298,5599,4185,7880,6554,8369,6067,9460,9818
2021.12.03.00,2779,3971,6443,4613,6856,4239,5526,4125,7769,6461,8237,5997,9365,9698
2021.12.02.00,2757,3919,6327,4540,6748,4167,5456,4037,7645,6367,8135,5928,9295,9586
2021.12.01.00,2684,3851,6198,4456,6587,4077,5345,3922,7514,6262,8014,5860,9188,9431
2021.11.30.00,2680,3796,6132,4436,6558,4058,5292,3904,7448,6201,7994,5822,9129,9382
2021.11.29.00,2651,3765,6092,4377,6497,4027,5252,3876,7386,6161,7949,5783,9087,9336
2021.11.28.00,2628,3728,6039,4318,6439,3974,5203,3826,7315,6084,7870,5719,9044,9263
2021.11.27.00,2599,3703,5951,4263,6379,3923,5154,3788,7235,5984,7802,5672,9002,9183
2021.11.26.00,2561,3642,5850,4202,6281,3876,5105,3730,7153,5878,7739,5629,8938,9105
2021.11.25.00,2527,3597,5776,4150,6179,3824,5058,3679,7077,5768,7663,5608,8893,9015
2021.11.24.00,2500,3564,5705,4071,6113,3786,5005,3595,6980,5667,7581,5566,8844,8912
2021.11.23.00,2475,3535,5630,4020,6020,3722,4953,3530,6883,5578,7486,5522,8790,8792
2021.11.22.00,2455,3525,5596,3968,5975,3694,4920,3501,6842,5523,7448,5479,8745,8735
2021.11.21.00,2441,3503,5545,3917,5933,3657,4879,3463,6766,5471,7390,5446,8699,8658
2021.11.20.00,2424,3478,5494,3876,5878,3629,4842,3432,6697,5412,7327,5403,8647,8576
2021.11.19.00,2402,3452,5435,3830,5822,3598,4809,3371,6616,5361,7263,5345,8589,8508
2021.11.18.00,2368,3431,5362,3788,5761,3566,4766,3316,6519,5314,7204,5315,8528,8430
2021.11.17.00,2350,3412,5294,3754,5695,3524,4726,3269,6440,5269,7137,5256,8471,8341
2021.11.16.00,2336,3388,5212,3719,5646,3484,4681,3225,6376,5221,7057,5215,8425,8266
2021.11.15.00,2322,3378,5155,3694,5626,3465,4652,3202,6312,5202,7019,5190,8388,8231
2021.11.14.00,2308,3360,5111,3679,5596,3455,4631,3183,6256,5171,6987,5163,8346,8180
2021.11.13.00,2289,3352,5069,3655,5547,3431,4605,3154,6200,5143,6938,5132,8314,8128
2021.11.12.00,2273,3339,5018,3624,5489,3396,4585,3123,6156,5118,6860,5098,8275,8081
2021.11.11.00,2257,3320,4987,3598,5438,3367,4563,3102,6092,5090,6801,5076,8243,8029
2021.11.10.00,2239,3304,4928,3570,5407,3342,4539,3084,6028,5067,6742,5026,8213,7959
2021.11.09.00,2223,3285,4859,3545,5369,3322,4505,3059,5971,5038,6691,5001,8174,7887
2021.11.08.00,2208,3275,4818,3525,5341,3310,4487,3032,5930,5016,6656,4979,8133,7847
2021.11.07.00,2196,3265,4794,3503,5299,3291,4470,3013,5881,4997,6614,4953,8102,7802
2021.11.06.00,2187,3253,4752,3485,5255,3279,4453,2965,5832,4980,6559,4925,8068,7744
2021.11.05.00,2169,3238,4712,3456,5202,3260,4439,2925,5783,4952,6502,4887,8043,7693
2021.11.04.00,2148,3220,4656,3429,5162,3242,4412,2872,5718,4924,6454,4858,8019,7630
2021.11.03.00,2134,3202,4651,3400,5116,3222,4390,2835,5654,4893,6399,4837,7989,7568
2021.11.02.00,2122,3187,4606,3358,5070,3190,4362,2805,5582,4858,6334,4812,7956,7512
2021.11.01.00,2114,3176,4585,3330,5054,3172,4341,2786,5559,4840,6297,4795,7932,7481
